step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
55.0,0.20090909090909093,-0.290909090909091,-1.9636363636363636,0.3590909090909091,0.35363636363636364,0.6472095976276678,0.6880349284876779,0.37649379588805976,0.2930667155861058,0.2574546404892927,0.23971946456537974,0.23032776334166835,0.2247979457664781,0.21917868358298132,0.20999966613468074
55.0,0.32636363636363636,-1.309090909090909,-1.1636363636363636,0.32636363636363636,0.30454545454545456,0.5472084748501724,0.6713206438292918,0.06414559815364038,0.02135830319701274,0.010827566657449427,0.006908423142612926,0.005057097588912831,0.003912454736577348,0.002949527715341477,0.002056206047228037
55.0,0.1572727272727273,1.3818181818181818,1.3090909090909086,0.31545454545454554,0.2281818181818182,0.9143693932103065,0.9389520437843678,0.7361132836024823,0.6669585073236646,0.6340154456108291,0.6162368293819831,0.6060649252784346,0.5997286293552022,0.593722015745345,0.5848277156072376
55.0,0.1190909090909091,0.7272727272727275,-0.5818181818181818,0.19,0.26636363636363636,0.9372706688313068,0.9567993262006718,0.7933233101522463,0.7352702106866054,0.7070946827868757,0.6917142592548425,0.6828458433655575,0.6773070241023583,0.6720734590460572,0.6643184857688585
55.0,0.1954545454545455,-1.1636363636363636,1.8909090909090907,0.23363636363636367,0.13,0.7874474306002507,0.8377749508931086,0.45734659724811577,0.35776743299285385,0.3154308096082841,0.29395380378230485,0.28205159705179345,0.27461642893773347,0.2675603856282111,0.25760103899003217
55.0,0.1681818181818182,1.2363636363636363,0.3636363636363633,0.38636363636363646,0.38636363636363646,0.9021750820330223,0.9284173146445723,0.7128936947677471,0.6404961247672317,0.6062553105302249,0.5878724606182195,0.5774046733445201,0.5709058869738374,0.5647239917106718,0.5555195728912122
55.0,0.13545454545454547,0.4363636363636365,-0.6545454545454545,0.2881818181818182,0.2936363636363637,0.9135618753995645,0.936110214151286,0.749026171849659,0.6843781681798156,0.6534537060665111,0.6367692841836163,0.6272625912600375,0.6213826373148208,0.6157744145592768,0.6073167557135094
55.0,0.19,0.9454545454545453,1.3818181818181818,0.26636363636363636,0.28272727272727277,0.8962455214722914,0.9358464140527187,0.6214109146421107,0.5259797311567185,0.4825513555253178,0.4595318080635463,0.44634884991112744,0.4379926000702657,0.4302081077523285,0.41938206415908097
55.0,0.30454545454545456,1.7454545454545451,0.9454545454545453,0.2772727272727273,0.3645454545454546,0.752701994579711,0.8242737743423074,0.3266108059916532,0.2222886602119236,0.18150454653501735,0.1615670523746438,0.1506228517922159,0.14371147680833946,0.13729522659192644,0.12881430855090223
55.0,0.16272727272727272,-0.7272727272727273,1.4545454545454541,0.12454545454545456,0.21727272727272728,0.9096227714267353,0.9406423762539318,0.6877805310102313,0.6056571953697971,0.5672432683400902,0.5466282746609206,0.5347906002212401,0.5273319767393093,0.520336234209079,0.5103392994062783
55.0,0.2772727272727273,-1.8181818181818181,1.7454545454545451,0.2390909090909091,0.3372727272727273,0.8459523119832191,0.9661249082131272,0.2311526960714976,0.11902170605636142,0.07821117659113923,0.05847166376521904,0.04749043160641267,0.04043550650000889,0.03410211337603652,0.026327479822063855
55.0,0.12454545454545456,-0.9454545454545455,0.0,0.34272727272727277,0.12454545454545456,0.946156030536393,0.9767158915324646,0.7255793284346709,0.6427688480096049,0.6035803193260494,0.582264725877627,0.5698109917760088,0.5618313211012195,0.5544715786862127,0.5443636620941572
55.0,0.27181818181818185,-1.4545454545454546,-1.3818181818181818,0.1790909090909091,0.3481818181818182,0.5692891908461697,0.626621978579507,0.23061253776433221,0.15216529486939745,0.12249342377042251,0.1084693252969614,0.10106485762642665,0.09649702795393165,0.09203586181994106,0.08571970254788014
55.0,0.25,1.8181818181818183,-0.8,0.2063636363636364,0.2772727272727273,0.7295753263403362,0.7872999950115257,0.3679422500343323,0.269375008075961,0.22929402777782146,0.20944770943458757,0.19859202731771697,0.19181533621939376,0.1853796277859797,0.17642135184933166
